stock_code,returned_units,signed_return_value_gbp,return_invoices,description,absolute_return_value_gbp
22059,65,-96.85,21,CERAMIC STRAWBERRY DESIGN MUG,96.85
22270,26,-96.78,7,HAPPY EASTER HANGING DECORATION,96.78
22342,70,-96.29999999999998,6,HOME GARLAND PAINTED ZINC,96.29999999999998
79342B,1316,-96.05,6,"Unsaleable, destroyed.",96.05
23275,77,-95.41,4,SET OF 3 HANGING OWLS OLLIE BEAK,95.41
23236,33,-95.37,17,STORAGE TIN VINTAGE DOILY,95.37
22281,18,-95.2,4,Unknown product,95.2
23526,16,-95.2,2,WALL ART DOG LICENCE,95.2
20977,280,-95.0,7,Unknown product,95.0
22380,45,-94.5,8,TOY TIDY SPACEBOY,94.5
21916,225,-94.5,5,SET 12 RETRO WHITE CHALK STICKS,94.5
84762A,30,-94.45,5,Unknown product,94.45
20665,96,-94.40000000000002,7,adjustment,94.40000000000002
21586,184,-94.35,5,Unknown product,94.35
22302,354,-94.35,11,COFFEE MUG PEARS DESIGN,94.35
22505,19,-94.05,12,MEMO BOARD COTTAGE DESIGN,94.05
22242,110,-94.04999999999998,11,Unknown product,94.04999999999998
22219,673,-93.89,7,LOVEBIRD HANGING DECORATION WHITE,93.89
20663,521,-93.85,3,QUEEN OF THE SKIES HOLIDAY PURSE,93.85
22764,4,-93.8,3,"RUSTIC WOODEN CABINET, GLASS DOORS",93.8
21390,75,-93.75,4,FILIGRIS HEART WITH BUTTERFLY,93.75
85121B,26,-93.5,7,RETRO LAUNDRY TUB PINK,93.5
84925D,1184,-93.0,4,Unknown product,93.0
85159B,39,-92.89,14,"WHITE TEA,COFFEE,SUGAR JARS",92.89
23198,64,-92.8,14,PANTRY MAGNETIC SHOPPING LIST,92.8
21363,38,-92.65,10,HOME SMALL WOOD LETTERS,92.65
21531,37,-92.55,21,RED RETROSPOT SUGAR JAM BOWL,92.55
22652,167,-92.39999999999999,12,TRAVEL SEWING KIT,92.39999999999999
21351,245,-91.95,6,damaged,91.95
22812,317,-91.64999999999999,7,PACK 3 BOXES CHRISTMAS PANETTONE,91.64999999999999
21425,31,-91.45000000000002,8,SKULLS STORAGE BOX LARGE,91.45000000000002
84988,64,-91.27,3,SET OF 72 PINK HEART PAPER DOILIES,91.27
21122,73,-91.25,4,SET/10 PINK POLKADOT PARTY CANDLES,91.25
22963,215,-90.86,13,JAM JAR WITH GREEN LID,90.86
23080,11,-90.75,7,RED METAL BOX TOP SECRET,90.75
22693,72,-90.0,2,GROW A FLYTRAP OR SUNFLOWER IN TIN,90.0
22254,72,-90.0,7,FELT TOADSTOOL LARGE,90.0
21188,35,-89.64999999999999,2,3D HEARTS HONEYCOMB PAPER GARLAND,89.64999999999999
23487,9,-89.55,6,SWEET HEART CAKE CARRIER,89.55
72741,461,-89.3,17,GRAND CHOCOLATECANDLE,89.3
84929,1130,-89.29,5,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,89.29
21464,21,-89.25,10,DISCO BALL ROTATOR BATTERY OPERATED,89.25
22926,63,-89.25,7,Unknown product,89.25
22165,20,-89.25,7,"DIAMANTE HEART SHAPED WALL MIRROR,",89.25
22047,250,-89.0,3,EMPIRE GIFT WRAP,89.0
20961,71,-88.75,2,STRAWBERRY BATH SPONGE,88.75
22906,61,-88.65,2,12 MESSAGE CARDS WITH ENVELOPES,88.65
21696,350,-88.50000000000001,4,SMALL SILVER TRELLIS CANDLEPOT,88.50000000000001
21262,11,-88.45,5,WHITE GOOSE FEATHER CHRISTMAS TREE,88.45
22845,14,-88.1,9,VINTAGE CREAM CAT FOOD CONTAINER,88.1
22829,10,-87.9,2,SWEETHEART WIRE WALL TIDY,87.9
84817,43,-87.84,7,DANISH ROSE DECORATIVE PLATE,87.84
21277,4,-87.8,4,FRENCH STYLE EMBOSSED HEART CABINET,87.8
23249,55,-87.71,7,VINTAGE RED ENAMEL TRIM PLATE,87.71
20931,27,-87.55000000000001,9,BLUE POT PLANT CANDLE,87.55000000000001
22775,110,-87.5,5,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,87.5
22027,228,-87.12,7,TEA PARTY BIRTHDAY CARD,87.12
47505,461,-87.05000000000001,9,Unknown product,87.05000000000001
84692,207,-86.94,8,BOX OF 24 COCKTAIL PARASOLS,86.94
22734,934,-86.7,6,SET OF 6 RIBBONS VINTAGE CHRISTMAS,86.7
20670,333,-86.4,4,VIP HOLIDAY PURSE,86.4
21559,34,-86.25,19,STRAWBERRY LUNCH BOX WITH CUTLERY,86.25
48184,11,-86.07,5,DOORMAT ENGLISH ROSE,86.07
22653,44,-85.8,4,BUTTON BOX,85.8
85034C,23,-85.75,6,3 ROSE MORRIS BOXED CANDLES,85.75
22154,204,-85.67999999999999,14,ANGEL DECORATION 3 BUTTONS,85.67999999999999
48188,11,-85.35,6,DOORMAT WELCOME PUPPIES,85.35
22993,68,-85.0,9,SET OF 4 PANTRY JELLY MOULDS,85.0
22348,197,-85.0,7,TEA BAG PLATE RED RETROSPOT,85.0
21792,21,-84.95,7,Unknown product,84.95
21335,52,-84.8,7,Unknown product,84.8
85053,91,-84.46000000000001,18,FRENCH ENAMEL CANDLEHOLDER,84.46000000000001
22212,40,-84.0,15,FOUR HOOK WHITE LOVEBIRDS,84.0
82600,501,-83.80000000000001,8,historic computer difference?....se,83.80000000000001
22927,59,-83.3,9,damaged,83.3
23194,37,-83.25,8,GYMKHANA TREASURE BOOK BOX,83.25
22577,401,-83.05,3,WOODEN HEART CHRISTMAS SCANDINAVIAN,83.05
23254,20,-83.0,8,CHILDRENS CUTLERY DOLLY GIRL,83.0
23045,20,-83.0,1,PAPER LANTERN 5 POINT STAR MOON,83.0
22055,51,-82.94999999999999,19,MINI CAKE STAND HANGING STRAWBERY,82.94999999999999
21165,280,-82.59,9,check,82.59
21499,484,-82.5,3,BLUE POLKADOT WRAP,82.5
21137,48,-82.29,8,BLACK RECORD COVER FRAME,82.29
22633,92,-81.9,10,HAND WARMER UNION JACK,81.9
10138,521,-81.9,7,Unknown product,81.9
21846,27,-81.85000000000001,3,PINK DIAMANTE PEN IN GIFT BOX,81.85000000000001
21763,16,-81.85,5,Unknown product,81.85
22312,27,-81.65000000000002,3,OFFICE MUG WARMER POLKADOT,81.65000000000002
22157,96,-81.6,2,ANGEL DECORATION WITH LACE PADDED,81.6
22579,154,-81.6,3,Unknown product,81.6
21875,71,-81.53,10,KINGS CHOICE MUG,81.53
21540,48,-81.5,11,damages,81.5
21672,142,-81.3,9,WHITE SPOT RED CERAMIC DRAWER KNOB,81.3
22339,190,-81.28,7,CHRISTMAS TREE PAINTED ZINC,81.28
21927,65,-81.25,12,BLUE/CREAM STRIPE CUSHION COVER,81.25
85019C,144,-81.0,3,Damaged,81.0
85167A,58,-81.0,2,Unknown product,81.0
22488,49,-80.85,17,NATURAL SLATE RECTANGLE CHALKBOARD,80.85
90185B,65,-80.75,6,AMETHYST DIAMANTE EXPANDABLE RING,80.75
22571,109,-80.17,3,ROCKING HORSE RED CHRISTMAS,80.17
84967A,3,-79.95,2,Unknown product,79.95
84467,72,-79.9,3,ENGLISH ROSE DESIGN QUILTED THROW,79.9
20786,22,-79.9,4,Damages,79.9
22965,38,-79.80000000000001,5,3 TRADITIONAl BISCUIT CUTTERS SET,79.80000000000001
22078,239,-79.8,4,Unknown product,79.8
21473,4,-79.8,3,SWEETHEART CREAM STEEL TABLE RECT,79.8
21924,10,-79.5,3,BLUE/CREAM STRIPE FRINGE HAMMOCK,79.5
85132C,121,-79.39999999999999,7,damages,79.39999999999999
21794,13,-79.35,5,CLASSIC FRENCH STYLE BASKET NATURAL,79.35
23126,16,-79.2,6,FELTCRAFT GIRL AMELIE KIT,79.2
22174,106,-79.19999999999999,3,Unknown product,79.19999999999999
22295,62,-79.19999999999999,5,HEART FILIGREE DOVE LARGE,79.19999999999999
21102,158,-79.05,2,Unknown product,79.05
84880,18,-78.9,6,WHITE WIRE EGG HOLDER,78.9
23393,21,-78.75,6,HOME SWEET HOME CUSHION COVER,78.75
21627,38,-78.7,3,check,78.7
84839,53,-78.6,12,SWEETHEART KEY CABINET,78.6
21789,92,-78.19999999999999,5,KIDS RAIN MAC PINK,78.19999999999999
22989,24,-78.0,4,SET 2 PANTRY DESIGN TEA TOWELS,78.0
21099,186,-78.0,4,Unknown product,78.0
44230,172,-77.91,5,Unknown product,77.91
23092,10,-77.75,9,LARGE ANTIQUE WHITE PHOTO FRAME,77.75
22146,114,-77.7,5,Unknown product,77.7
84910A,29,-77.35000000000001,2,Unknown product,77.35000000000001
23004,184,-77.28,4,TRAVEL CARD WALLET PANTRY,77.28
79320,18,-77.10000000000001,11,FLAMINGO LIGHTS,77.10000000000001
22371,18,-76.88,13,AIRLINE BAG VINTAGE TOKYO 78,76.88
90085,213,-76.5,3,Unknown product,76.5
84782A,37,-76.5,8,Unknown product,76.5
20828,30,-76.5,5,GLITTER BUTTERFLY CLIPS,76.5
48187,30,-76.46000000000001,7,DOORMAT NEW ENGLAND,76.46000000000001
21303,35,-76.44999999999999,7,Unknown product,76.44999999999999
21276,24,-76.2,4,Unknown product,76.2
47567B,211,-76.05000000000001,9,TEA TIME KITCHEN APRON,76.05000000000001
23032,106,-75.89999999999999,12,DRAWER KNOB CRACKLE GLAZE IVORY,75.89999999999999
84750A,135,-75.3,10,Unknown product,75.3
22832,7,-75.25,5,BROCANTE SHELF WITH HOOKS,75.25
20967,97,-75.0,4,Unknown product,75.0
23077,60,-75.0,3,DOUGHNUT LIP GLOSS,75.0
23212,60,-75.0,3,HEART WREATH DECORATION WITH BELL,75.0
21114,60,-75.0,5,LAVENDER SCENTED FABRIC HEART,75.0
23458,5,-74.75,4,DOLLY CABINET 3 DRAWERS,74.75
21202,51,-74.55,3,DOLLY HONEYCOMB GARLAND,74.55
22998,177,-74.34,11,TRAVEL CARD WALLET KEEP CALM,74.34
21352,34,-74.25,5,check,74.25
84558A,25,-73.75,1,3D DOG PICTURE PLAYING CARDS,73.75
21810,194,-73.75,3,CHRISTMAS HANGING STAR WITH BELL,73.75
22094,92,-73.72,8,RED RETROSPOT TISSUE BOX,73.72
23020,10,-73.65,7,GLASS SONGBIRD STORAGE JAR,73.65
85040A,44,-72.6,17,S/4 PINK FLOWER CANDLES IN BOWL,72.6
23251,58,-72.5,5,VINTAGE RED ENAMEL TRIM MUG,72.5
21746,58,-72.5,9,SMALL RED RETROSPOT WINDMILL,72.5
72807A,801,-72.25,13,???missing,72.25
22962,185,-72.11999999999999,22,JAM JAR WITH PINK LID,72.11999999999999
22957,26,-71.9,4,SET 3 PAPER VINTAGE CHICK PAPER EGG,71.9
21703,171,-71.82,9,BAG 125g SWIRLY MARBLES,71.82
20718,58,-71.74,9,RED RETROSPOT SHOPPER BAG,71.74
90175A,8,-71.6,2,WHITE GLASS CHUNKY CHARM BRACELET,71.6
84031A,27,-71.55,4,CHARLIE+LOLA RED HOT WATER BOTTLE,71.55
22632,119,-71.5,13,HAND WARMER RED RETROSPOT,71.5
21204,49,-71.25,2,DAISIES HONEYCOMB GARLAND,71.25
21203,107,-71.25,3,Unknown product,71.25
22299,57,-71.25,5,PIG KEYRING WITH LIGHT & SOUND,71.25
22211,49,-71.25,2,WOOD STAMP SET FLOWERS,71.25
21826,80,-71.25,8,EIGHT PIECE DINOSAUR SET,71.25
21745,19,-71.25,3,GAOLERS KEYS DECORATIVE GARDEN,71.25
22232,74,-71.22,8,JIGSAW TOADSTOOLS 3 PIECE,71.22
21242,42,-70.98,6,RED RETROSPOT PLATE,70.98
22466,39,-70.94999999999999,6,FAIRY TALE COTTAGE NIGHT LIGHT,70.94999999999999
22354,19,-70.89,4,RETROSPOT PADDED SEAT CUSHION,70.89
71038,29,-70.85,9,check,70.85
18098C,164,-70.80000000000001,2,Unknown product,70.80000000000001
23470,12,-70.7,8,CARD HOLDER LOVE BIRD LARGE,70.7
85030,36,-70.64999999999999,4,Unknown product,70.64999999999999
20711,356,-70.31,14,lost in space,70.31
22631,36,-70.19999999999999,8,CIRCUS PARADE LUNCH BOX,70.19999999999999
21714,70,-70.1,11,CITRONELLA CANDLE GARDEN POT,70.1
22128,80,-70.0,4,PARTY CONES CANDY ASSORTED,70.0
22217,211,-70.0,4,damages?,70.0
21715,33,-69.75,2,GIRLS VINTAGE TIN SEASIDE BUCKET,69.75
85180A,15,-69.75,3,RED HEARTS LIGHT CHAIN,69.75
23225,84,-69.72,4,CHERUB HEART DECORATION SILVER,69.72
22153,166,-69.72,5,ANGEL DECORATION STARS ON DRESS,69.72
85091,17,-69.69999999999999,1,CANDY SPOT BREAD BASKETS,69.69999999999999
21784,24,-69.64999999999999,8,SHOE SHINE BOX,69.64999999999999
22763,7,-69.64999999999999,4,KEY CABINET MA CAMPAGNE,69.64999999999999
20804,48,-69.6,1,GLASS CHICKEN BUTTER DISH,69.6
22291,48,-69.6,2,HANGING CHICK CREAM DECORATION,69.6
21192,212,-69.6,2,check,69.6
gift_0001_80,1,-69.56,1,Dotcomgiftshop Gift Voucher £80.00,69.56
23237,17,-69.35000000000001,10,SET OF 4 KNICK KNACK TINS LEAF,69.35000000000001
20821,208,-69.30000000000001,4,GOLDIE LOOKING MIRROR,69.30000000000001
22939,64,-69.30000000000001,3,APRON APPLE DELIGHT,69.30000000000001
21832,42,-69.3,5,CHOCOLATE CALCULATOR,69.3
15058B,70,-69.15,6,PINK POLKADOT GARDEN PARASOL,69.15
22761,3,-68.85,2,CHEST 7 DRAWER MA CAMPAGNE,68.85
22983,181,-68.75999999999999,3,CARD BILLBOARD FONT,68.75999999999999
22091,55,-68.75,4,EMPIRE TISSUE BOX,68.75
22258,55,-68.75,3,FELT FARM ANIMAL RABBIT,68.75
37471,807,-68.4,3,sold as set on dotcom,68.4
23480,20,-68.1,2,MINI LIGHTS WOODLAND MUSHROOMS,68.1
20666,416,-68.0,3,Unknown product,68.0
90200E,16,-68.0,5,GREEN SWEETHEART BRACELET,68.0
16043,1324,-67.67999999999999,4,Unknown product,67.67999999999999
22081,41,-67.65,3,RIBBON REEL FLORA + FAUNA,67.65
22080,602,-67.65,5,RIBBON REEL POLKADOTS,67.65
23324,35,-67.51,2,RUSTIC STRAWBERRY JAM POT LARGE,67.51
85126,50,-67.5,7,Unknown product,67.5
48189,28,-67.5,2,damaged,67.5
21469,50,-67.5,3,POLKA DOT RAFFIA FOOD COVER,67.5
47559B,138,-67.5,7,TEA TIME OVEN GLOVE,67.5
21892,134,-67.5,12,TRADITIONAL WOODEN CATCH CUP GAME,67.5
21591,321,-67.5,3,check,67.5
22003,10,-67.5,1,VINTAGE BLUE VACUUM FLASK 0.5L,67.5
21908,32,-67.2,4,CHOCOLATE THIS WAY METAL SIGN,67.2
20981,79,-67.14999999999999,7,12 PENCILS TALL TUBE WOODLAND,67.14999999999999
72351A,34,-67.03,5,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,67.03
35001W,108,-66.81,8,Unknown product,66.81
21765,11,-66.75,3,Unknown product,66.75
22788,7,-66.75,5,BROCANTE COAT RACK,66.75
23042,10,-66.5,1,PAPER LANTERN 7 POINT SNOW STAR,66.5
20754,33,-66.30000000000001,6,RETROSPOT RED WASHING UP GLOVES,66.30000000000001
22663,34,-66.3,3,JUMBO BAG DOLLY GIRL DESIGN,66.3
21326,102,-66.3,11,AGED GLASS SILVER T-LIGHT HOLDER,66.3
85027L,34,-66.3,3,FRENCH CHATEAU LARGE PLATTER,66.3
22308,26,-66.3,2,TEA COSY BLUE STRIPE,66.3
22851,78,-66.3,4,SET 20 NAPKINS FAIRY CAKES DESIGN,66.3
22309,26,-66.3,2,TEA COSY RED STRIPE,66.3
10123G,1142,-66.24,2,Unknown product,66.24
21285,48,-66.0,3,RETROSPOT CANDLE MEDIUM,66.0
22737,40,-66.0,2,RIBBON REEL CHRISTMAS PRESENT,66.0
22555,40,-65.99999999999999,8,PLASTERS IN TIN STRONGMAN,65.99999999999999
23209,40,-65.80000000000001,11,LUNCH BAG VINTAGE DOILY,65.80000000000001
23168,54,-65.61,18,CLASSIC CAFE SUGAR DISPENSER,65.61
23238,16,-65.60000000000001,8,SET OF 4 KNICK KNACK TINS LONDON,65.60000000000001
21718,52,-65.0,5,RED METAL BEACH SPADE,65.0
85150,417,-64.94999999999999,14,LADIES & GENTLEMEN METAL SIGN,64.94999999999999
22224,22,-64.9,6,WHITE LOVEBIRD LANTERN,64.9
22967,22,-64.9,4,SET 3 SONG BIRD PAPER EGGS ASSORTED,64.9
21164,22,-64.9,5,HOME SWEET HOME METAL SIGN,64.9
84625A,54,-64.80000000000001,5,PINK NEW BAROQUECANDLESTICK CANDLE,64.80000000000001
21198,75,-64.71,3,WHITE HEART CONFETTI IN TUBE,64.71
22327,22,-64.5,10,ROUND SNACK BOXES SET OF 4 SKULLS,64.5
85232D,131,-64.35000000000001,8,mix up with c,64.35000000000001
23127,13,-64.35000000000001,3,FELTCRAFT GIRL NICOLE KIT,64.35000000000001
23184,13,-64.35,4,BULL DOG BOTTLE OPENER,64.35
23313,13,-64.35,2,VINTAGE CHRISTMAS BUNTING,64.35
23321,39,-64.35,4,SMALL WHITE HEART OF WICKER,64.35
85172,2173,-64.25999999999999,10,check,64.25999999999999
84031B,26,-64.19999999999999,2,CHARLIE LOLA BLUE HOT WATER BOTTLE,64.19999999999999
21288,47,-64.14999999999999,3,STRIPEY CHOCOLATE NESTING BOXES,64.14999999999999
20791,10,-63.75,2,Unknown product,63.75
22494,51,-63.75,13,EMERGENCY FIRST AID TIN,63.75
85049A,51,-63.75,6,TRADITIONAL CHRISTMAS RIBBONS,63.75
23382,17,-63.75,3,BOX OF 6 CHRISTMAS CAKE DECORATIONS,63.75
90062,5,-63.75,4,CARNIVAL BRACELET,63.75
84279B,77,-63.75,11,Unknown product,63.75
21588,25,-63.74999999999999,3,RETROSPOT GIANT TUBE MATCHES,63.74999999999999
22166,8,-63.6,6,WALL MIRROR RECTANGLE DIAMANTE PINK,63.6
85116,30,-63.00000000000001,2,BLACK CANDELABRA T-LIGHT HOLDER,63.00000000000001
84670,3590,-63.0,5,JAPANESE CROCHETED ANIMAL,63.0
22381,30,-62.75,10,TOY TIDY PINK POLKADOT,62.75
79067,168,-62.7,10,Unknown product,62.7
22417,114,-62.7,5,PACK OF 60 SPACEBOY CAKE CASES,62.7
21055,7,-62.64999999999999,2,TOOL BOX SOFT TOY,62.64999999999999
23314,5,-62.5,2,VINTAGE CHRISTMAS TABLECLOTH,62.5
85217,336,-62.400000000000006,6,Unknown product,62.400000000000006
23022,30,-62.400000000000006,2,SMALL BONNE JAM JAR T-LIGHT HOLDER,62.400000000000006
85141,18,-62.05,6,JARDIN ETCHED GLASS FRUITBOWL,62.05
21788,73,-61.849999999999994,6,KIDS RAIN MAC BLUE,61.849999999999994
84535B,95,-61.75,2,FAIRY CAKES NOTEBOOK A6 SIZE,61.75
22567,63,-61.45,11,20 DOLLY PEGS RETROSPOT,61.45
16156S,256,-61.32,4,Unknown product,61.32
21124,49,-61.25,3,SET/10 BLUE POLKADOT PARTY CANDLES,61.25
22604,2584,-61.199999999999996,4,SET OF 4 NAPKIN CHARMS CUTLERY,61.199999999999996
22897,242,-60.9,6,OVEN MITT APPLES DESIGN,60.9
21829,2618,-60.69,7,?missing,60.69
22818,144,-60.48,5,CARD CHRISTMAS VILLAGE,60.48
22338,95,-60.370000000000005,5,STAR DECORATION PAINTED ZINC,60.370000000000005
21355,265,-60.0,4,Unknown product,60.0
22800,16,-60.0,9,ANTIQUE TALL SWIRLGLASS TRINKET POT,60.0
21123,48,-60.0,2,SET/10 IVORY POLKADOT PARTY CANDLES,60.0
23226,48,-60.0,1,FILIGREE HEART DAISY WHITE,60.0
23078,48,-60.0,2,ICE CREAM PEN LIP GLOSS,60.0
23267,48,-60.0,1,SET OF 4 SANTA PLACE SETTINGS,60.0
21357,48,-60.0,1,TOAST ITS - DINOSAUR,60.0
16053,2514,-60.0,3,Unknown product,60.0
84632,1,-59.95,1,DECORATIVE HANGING SHELVING UNIT,59.95
47589,40,-59.95,8,Unknown product,59.95
21659,19,-59.8,5,GLASS CAKE STAND,59.8
21628,4,-59.8,3,TRIANGULAR POUFFE VINTAGE,59.8
23397,15,-59.699999999999996,6,FOOT STOOL HOME SWEET HOME,59.699999999999996
23407,6,-59.699999999999996,4,SET OF 2 TRAYS HOME SWEET HOME,59.699999999999996
21542,1036,-59.5,8,Unknown product,59.5
21450,41,-59.5,2,damaged,59.5
35241,52,-59.400000000000006,7,damages?,59.400000000000006
46775D,19,-59.3,6,Unknown product,59.3
21333,49,-59.02,11,CLASSIC WHITE FRAME,59.02
22318,20,-59.00000000000001,7,FIVE HEART HANGING DECORATION,59.00000000000001
23263,47,-58.75,5,SET OF 3 WOODEN HEART DECORATIONS,58.75
22534,329,-58.38,6,MAGIC DRAWING SLATE SPACEBOY,58.38
20731,71,-58.300000000000004,2,Unknown product,58.300000000000004
21932,34,-58.3,4,SCANDINAVIAN PAISLEY PICNIC BAG,58.3
21933,21,-58.050000000000004,7,PINK VINTAGE PAISLEY PICNIC BAG,58.050000000000004
84625D,61,-57.85000000000001,5,Unknown product,57.85000000000001
23015,7,-57.75,3,CORDIAL GLASS JUG,57.75
16033,2959,-57.599999999999994,6,MINI HIGHLIGHTER PENS,57.599999999999994
23283,7,-57.45,2,DOORMAT VINTAGE LEAF,57.45
37370,1423,-57.42,18,RETRO COFFEE MUGS ASSORTED,57.42
21530,64,-57.040000000000006,10,DAIRY MAID TOASTRACK,57.040000000000006
21291,67,-56.95,5,SMALL POLKADOT CHOCOLATE GIFT BAG,56.95
21319,76,-56.949999999999996,5,GLASS CHALICE GREEN SMALL,56.949999999999996
35004S,311,-56.519999999999996,9,SET OF 3 SILVER FLYING DUCKS,56.519999999999996
21524,7,-56.39,4,DOORMAT SPOTTY HOME SWEET HOME,56.39
22203,15,-56.25,11,MILK PAN RED RETROSPOT,56.25
22528,4846,-56.25,7,Unknown product,56.25
85049G,305,-56.25,7,CHOCOLATE BOX RIBBONS,56.25
22183,9,-56.2,6,CAKE STAND VICTORIAN FILIGREE MED,56.2
23242,27,-56.160000000000004,3,TREASURE TIN BUFFALO BILL,56.160000000000004
84691,161,-56.10000000000001,4,damages,56.10000000000001
22972,34,-56.099999999999994,8,CHILDREN'S SPACEBOY MUG,56.099999999999994
48173C,70,-55.93,6,DOORMAT BLACK FLOCK,55.93
20932,17,-55.75,6,PINK POT PLANT CANDLE,55.75
21980,192,-55.67999999999999,6,PACK OF 12 RED RETROSPOT TISSUES,55.67999999999999
22406,50,-55.660000000000004,4,MONEY BOX KINGS CHOICE DESIGN,55.660000000000004
20747,4,-55.4,3,PICCADILLY TEA SET,55.4
90185A,32,-55.25,4,AMBER DIAMANTE EXPANDABLE RING,55.25
84030E,15,-55.25,5,ENGLISH ROSE HOT WATER BOTTLE,55.25
21265,20,-55.0,3,PINK GOOSE FEATHER TREE 60CM,55.0
85028S,39,-54.9,3,Unknown product,54.9
22065,45,-54.769999999999996,15,CHRISTMAS PUDDING TRINKET POT,54.769999999999996
21490,108,-54.599999999999994,6,Unknown product,54.599999999999994
21169,202,-54.57,12,YOU'RE CONFUSING ME METAL SIGN,54.57
85045,12,-54.5,4,GREEN CHRISTMAS TREE STRING 20LIGHT,54.5
20985,44,-54.43,6,HEART CALCULATOR,54.43
21348,76,-54.25000000000001,6,PINK SPOTS CHOCOLATE NESTING BOXES,54.25000000000001
23302,36,-54.239999999999995,5,KNEELING MAT HOUSEWORK DESIGN,54.239999999999995
21349,52,-54.0,3,Unknown product,54.0
23002,128,-53.76,8,TRAVEL CARD WALLET SKULLS,53.76
90010A,6,-53.699999999999996,1,MIDNIGHT BLUE GLASS/SILVER BRACELET,53.699999999999996
22650,37,-53.64999999999999,7,CERAMIC PIRATE CHEST MONEY BANK,53.64999999999999
90070,9,-53.550000000000004,2,RUBY GLASS CLUSTER BRACELET,53.550000000000004
21064,9,-53.550000000000004,3,BOOM BOX SPEAKER BOYS,53.550000000000004
23356,9,-53.55,2,LOVE HOT WATER BOTTLE,53.55
21205,21,-53.55,4,MULTICOLOUR 3D BALLS GARLAND,53.55
47580,21,-53.55,4,TEA TIME DES TEA COSY,53.55
22825,7,-53.25,4,DECORATIVE PLANT POT WITH FRIEZE,53.25
23099,8,-53.2,4,FRENCH CARRIAGE LANTERN,53.2
22093,48,-53.160000000000004,2,MOTORING TISSUE BOX,53.160000000000004
22808,18,-53.1,1,SET OF 6 T-LIGHTS EASTER CHICKS,53.1
22859,32,-52.8,6,EASTER TIN BUNNY BOUQUET,52.8
21417,25,-52.50000000000001,2,COCKLE SHELL DISH,52.50000000000001
22710,125,-52.5,5,WRAP I LOVE LONDON,52.5
22204,14,-52.5,5,MILK PAN BLUE POLKADOT,52.5
90143,7,-52.5,2,SILVER BRACELET W PASTEL FLOWER,52.5
21320,108,-52.5,10,Unknown product,52.5
16169E,438,-52.5,3,WRAP 50'S CHRISTMAS,52.5
21563,19,-52.05,9,RED HEART SHAPE LOVE BUCKET,52.05
23159,124,-52.0,4,SET OF 5 PANCAKE DAY MAGNETS,52.0
85170A,147,-51.519999999999996,4,Unknown product,51.519999999999996
22807,19,-51.25,3,SET OF 6 T-LIGHTS TOADSTOOLS,51.25
22082,58,-51.15,5,RIBBON REEL STRIPES DESIGN,51.15
20662,300,-51.00000000000001,1,FIRST CLASS HOLIDAY PURSE,51.00000000000001
21282,33,-51.0,3,Unknown product,51.0
22194,19,-51.0,7,Unknown product,51.0
84968E,39,-51.0,2,check,51.0
84968C,4,-51.0,2,SET OF 16 VINTAGE PISTACHIO CUTLERY,51.0
84684,52,-51.0,2,BEACH HUT PHOTO FRAME,51.0
22353,48,-50.99999999999999,7,Unknown product,50.99999999999999
23010,3,-50.849999999999994,2,CIRCUS PARADE BABY GIFT SET,50.849999999999994
84830,10,-50.849999999999994,3,Unknown product,50.849999999999994
21284,48,-50.64,3,RETROSPOT CANDLE SMALL,50.64
35603B,36,-50.400000000000006,2,Unknown product,50.400000000000006
22902,224,-50.400000000000006,3,TOTE BAG I LOVE LONDON,50.400000000000006
22535,120,-50.4,3,MAGIC DRAWING SLATE BUNNIES,50.4
22030,755,-50.4,4,??,50.4
84016,20959,-50.3,10,FLAG OF ST GEORGE CAR FLAG,50.3
22483,17,-50.150000000000006,5,RED GINGHAM TEDDY BEAR,50.150000000000006
22777,45,-50.15,7,Unknown product,50.15
84782C,33,-50.1,6,Unknown product,50.1
22319,77,-50.050000000000004,8,HAIRCLIPS FORTIES FABRIC ASSORTED,50.050000000000004
20833,12,-49.95,2,SHAKER THROW QUILTED,49.95
23392,24,-49.92,1,SPACEBOY ROCKET LOLLY MAKERS,49.92
23156,24,-49.92,2,SET OF 5 MINI GROCERY MAGNETS,49.92
47583A,7,-49.9,3,Unknown product,49.9
20675,40,-49.81,9,BLUE POLKADOT BOWL,49.81
23140,12,-49.800000000000004,1,TRIPLE WIRE HOOK IVORY HEART,49.800000000000004
23413,12,-49.800000000000004,1,VINTAGE COFFEE GRINDER BOX,49.800000000000004
23354,60,-49.8,3,6 GIFT TAGS 50'S CHRISTMAS,49.8
22307,241,-49.8,8,GOLD MUG BONE CHINA TREE OF LIFE,49.8
23460,5,-49.75,4,SWEETHEART WALL TIDY,49.75
84689,17,-49.55,4,S/2 BEACH HUT TREASURE CHESTS,49.55
22476,10,-49.5,2,EMPIRE UNION JACK TV DINNER TRAY,49.5
90048,10,-49.5,1,GREEN WITH METAL BAG CHARM,49.5
23081,6,-49.5,3,GREEN METAL BOX ARMY SUPPLIES,49.5
21645,41,-49.49999999999999,5,Unknown product,49.49999999999999
79029,233,-49.349999999999994,14,GLASS HONEYPOT WASP CATCHER,49.349999999999994
