stock_code,units_sold,revenue_gbp,orders,identified_customers,description,revenue_share_pct
20963,3459,4676.15,509,168,APPLE BATH SPONGE,0.022836933588900207
22721,1020,4671.81,297,183,SET OF 3 CAKE TINS SKETCHBOOK,0.022815738312492093
23241,2165,4669.55,363,183,TREASURE TIN GYMKHANA DESIGN,0.022804701140906294
22075,3079,4660.69,358,201,6 RIBBONS ELEGANT CHRISTMAS,0.02276143152132658
82581,8399,4649.0,913,371,TOILET METAL SIGN,0.022704341018743426
72807B,1059,4645.87,225,112,SET/3 OCEAN SCENT CANDLE JEWEL BOX,0.022689055024467525
15044B,1670,4644.13,189,97,BLUE PAPER PARASOL,0.02268055737908731
22574,5074,4629.17,415,253,HEART WOODEN CHRISTMAS DECORATION,0.022607497163634437
21328,2441,4612.63,643,257,BALLOONS WRITING SET,0.022526720695479993
21878,5586,4586.48,403,225,PACK OF 6 SANDCASTLE FLAGS ASSORTED,0.02239901182956471
22800,1127,4586.4,268,149,ANTIQUE TALL SWIRLGLASS TRINKET POT,0.02239862113322539
21811,6340,4577.18,382,199,HANGING HEART WITH BELL,0.022353593380118743
23285,4807,4572.41,191,108,PINK VINTAGE SPOT BEAKER,0.022330298110886777
10135,4226,4566.21,324,178,COLOURING PENCILS BROWN TUBE,0.022300019144589463
23404,1011,4561.76,169,104,HOME SWEET HOME BLACKBOARD,0.02227828666071478
15044D,1596,4559.650000000001,227,105,RED PAPER PARASOL,0.02226798204476521
23168,3291,4558.67,337,140,CLASSIC CAFE SUGAR DISPENSER,0.02226319601460854
51014A,6671,4556.5,376,161,"FEATHER PEN,HOT PINK",0.02225259837640448
22601,5250,4547.19,417,257,CHRISTMAS RETROSPOT ANGEL WOOD,0.02220713108991609
85184D,8311,4546.78,66,48,S/4 BLUE ROUND DECOUPAGE BOXES,0.022205128771177078
22743,1502,4542.5,351,199,MAKE YOUR OWN FLOWERPOWER CARD KIT,0.022184226517023446
37447,2891,4540.849999999999,364,141,CERAMIC CAKE DESIGN SPOTTED PLATE,0.022176168405024968
22736,2527,4538.28,408,232,RIBBON REEL MAKING SNOWMEN,0.02216361728512431
21614,1627,4538.17,194,123,SET OF 12 ROSE BOTANICAL T-LIGHTS,0.022163080077657743
21506,10878,4534.49,665,310,"FANCY FONT BIRTHDAY CARD,",0.022145108046049015
21990,2453,4530.54,497,170,MODERN FLORAL STATIONERY SET,0.022125817414295083
21564,1951,4524.5,294,134,PINK HEART SHAPE LOVE BUCKET,0.02209631984067641
22908,5610,4524.0,485,266,PACK OF 20 NAPKINS RED APPLES,0.02209387798855566
23275,3720,4521.72,325,171,SET OF 3 HANGING OWLS OLLIE BEAK,0.022082743142885032
23163,1832,4515.22,209,95,REGENCY SUGAR TONGS,0.02205099906531527
23112,546,4507.08,241,134,PARISIENNE CURIO CABINET,0.02201124571278944
22760,356,4506.889999999999,120,82,"TRAY, BREAKFAST IN BED",0.022010317808983555
22451,1339,4496.99,238,134,SILK PURSE BABUSHKA RED,0.021961969136992686
23309,8275,4495.85,407,178,SET OF 60 I LOVE LONDON CAKE CASES,0.021956401714157376
84968E,387,4490.48,98,41,SET OF 16 VINTAGE BLACK CUTLERY,0.021930176222380506
22747,2035,4487.2,402,241,POPPY'S PLAYHOUSE BATHROOM,0.02191415767246838
84279P,1145,4476.67,299,169,CHERRY BLOSSOM DECORATIVE FLASK,0.021862732266805362
21109,1173,4476.49,223,131,LARGE CAKE TOWEL CHOCOLATE SPOTS,0.021861853200041893
23167,5847,4476.009999999999,231,129,SMALL CERAMIC TOP STORAGE JAR,0.02185950902200597
23288,4625,4444.2300000000005,185,107,GREEN VINTAGE SPOT BEAKER,0.021704304901211037
23530,1056,4436.27,87,60,WALL ART ONLY ONE PERSON,0.021665430615448678
21064,884,4432.92,171,75,BOOM BOX SPEAKER BOYS,0.021649070206239643
21864,1853,4431.54,411,166,UNION JACK FLAG PASSPORT COVER,0.021642330694386373
22299,3912,4430.82,202,103,PIG KEYRING WITH LIGHT & SOUND,0.021638814427332488
22733,3441,4425.49,338,216,3D TRADITIONAL CHRISTMAS STICKERS,0.021612784283725282
79341,725,4423.6900000000005,79,49,WILLOW BRANCH LIGHTS.,0.021603993616090583
22291,3193,4412.929999999999,264,141,HANGING CHICK CREAM DECORATION,0.02155144495845201
22548,3526,4404.31,428,293,HEADS AND TAILS SPORTING FUN,0.02150934742789027
84031A,1098,4404.02,314,95,CHARLIE+LOLA RED HOT WATER BOTTLE,0.021507931153660235
22573,4907,4403.83,405,235,STAR WOODEN CHRISTMAS DECORATION,0.021507003249854346
21967,15652,4401.44,479,250,PACK OF 12 SKULL TISSUES,0.021495331196717152
22594,4791,4377.33,412,232,CHRISTMAS GINGHAM TREE,0.02137758508745454
22449,1323,4374.45,308,155,SILK PURSE BABUSHKA PINK,0.021363520019239014
21810,6959,4374.41,344,171,CHRISTMAS HANGING STAR WITH BELL,0.021363324671069352
85053,2032,4363.280000000001,378,185,FRENCH ENAMEL CANDLEHOLDER,0.021308969042861437
79320,904,4357.38,150,67,FLAMINGO LIGHTS,0.02128015518783657
22071,1530,4355.88,256,200,SMALL WHITE RETROSPOT MUG IN BOX,0.02127282963147432
84598,20775,4350.14,217,30,BOYS ALPHABET IRON ON PATCHES,0.0212447971691281
20674,3412,4348.52,463,196,GREEN POLKADOT BOWL,0.021236885568256866
15039,5101,4345.62,306,127,SANDALWOOD FAN,0.021222722825956507
22227,6021,4344.17,643,195,HANGING HEART MIRROR DECORATION,0.02121564145480633
23349,3221,4342.6,337,214,ROLL WRAP VINTAGE CHRISTMAS,0.021207974039147173
21537,1005,4338.71,256,174,RED RETROSPOT PUDDING BOWL,0.02118897642964773
22611,907,4338.63,195,135,VINTAGE UNION JACK SHOPPING BAG,0.021188585733308406
22202,1074,4336.25,264,91,MILK PAN PINK POLKADOT,0.021176962517213634
84997b,514,4322.57,85,0,CHILDRENS CUTLERY RETROSPOT RED,0.021110153443189884
21899,6676,4322.47,622,313,GARAGE KEY FOB,0.021109665072765734
22892,3520,4322.06,295,162,SET OF SALT AND PEPPER TOADSTOOLS,0.02110766275402672
22425,854,4321.52,301,195,ENAMEL COLANDER CREAM,0.02110502555373631
21913,1129,4302.48,298,170,VINTAGE SEASIDE JIGSAW PUZZLES,0.021012039824978103
47580,1662,4298.599999999999,344,158,TEA TIME DES TEA COSY,0.020993091052521073
21153,393,4294.6900000000005,139,91,RED SPOTTY TABLECLOTH,0.020973995768936805
21012,2297,4293.7,299,112,ANTIQUE ALL GLASS CANDLESTICK,0.020969160901737716
23050,497,4286.55,205,116,RECYCLED ACAPULCO MAT GREEN,0.020934242416410977
84969,969,4279.93,341,100,BOX OF 6 ASSORTED COLOUR TEASPOONS,0.020901912294332234
23237,1053,4274.39,177,131,SET OF 4 KNICK KNACK TINS LEAF,0.020874856572834312
21245,2567,4268.36,304,146,GREEN POLKADOT PLATE,0.02084540783625805
20966,3007,4265.24,420,137,SANDWICH BATH SPONGE,0.020830170679024564
22723,1164,4262.820000000001,295,170,SET OF 6 HERB TINS SKETCHBOOK,0.020818352114760134
72802B,1559,4258.97,212,119,OCEAN SCENT CANDLE IN JEWELLED BOX,0.020799549853430348
22530,10065,4257.09,468,285,MAGIC DRAWING SLATE DOLLY GIRL,0.020790368489456323
20665,1335,4256.34,348,167,RED RETROSPOT PURSE,0.020786705711275198
22312,1233,4254.05,269,104,OFFICE MUG WARMER POLKADOT,0.020775522028562157
22285,2705,4248.009999999999,261,165,HANGING HEN ON NEST DECORATION,0.02074602445494348
22744,1515,4245.17,300,196,MAKE YOUR OWN MONSOON CARD KIT,0.020732154734897618
21556,1607,4244.41,293,132,CERAMIC STRAWBERRY MONEY BOX,0.020728443119674075
20982,4851,4243.8,576,316,12 PENCILS TALL TUBE SKULLS,0.02072546406008676
22497,929,4239.07,279,160,SET OF 2 TINS VINTAGE BATHROOM,0.020702364139024456
21068,4066,4224.63,373,149,VINTAGE BILLBOARD LOVE/HATE MUG,0.020631843449777164
21355,3452,4218.05,341,213,TOAST ITS - I LOVE YOU,0.02059970867586808
23089,2354,4215.78,225,101,GLASS BON BON JAR,0.020588622667239872
72807A,924,4213.54,216,95,SET/3 ROSE CANDLE IN JEWELLED BOX,0.020577683169738906
22600,4860,4209.9,429,278,CHRISTMAS RETROSPOT STAR WOOD,0.020559906486299837
22797,242,4205.5599999999995,140,98,CHEST OF DRAWERS GINGHAM HEART,0.020538711209891716
84950,6041,4199.27,274,156,ASSORTED COLOUR T-LIGHT HOLDER,0.020507992710212673
23144,5089,4197.83,274,180,ZINC T-LIGHT HOLDER STARS SMALL,0.020500960176104907
23012,1071,4197.110000000001,246,151,GLASS APOTHECARY BOTTLE PERFUME,0.02049744390905103
22851,5167,4193.679999999999,523,306,SET 20 NAPKINS FAIRY CAKES DESIGN,0.02048069280350267
21470,1102,4190.93,319,160,FLOWER VINE RAFFIA FOOD COVER,0.020467262616838542
21474,210,4189.5,94,69,SWEETHEART CREAM STEEL FOLDIN BENCH,0.020460278919773194
21609,1499,4186.29,218,142,SET 12 LAVENDER BOTANICAL T-LIGHTS,0.020444602229157973
21707,1005,4184.95,172,107,FOLDING UMBRELLA BLACKBLUE POLKADOT,0.02043805806547436
22833,120,4163.54,13,9,HALL CABINET WITH 3 DRAWERS,0.020333497957663798
22127,3468,4153.11,155,128,PARTY CONES CARNIVAL ASSORTED,0.02028256092242493
22926,680,4150.31,216,152,IVORY GIANT GARDEN THERMOMETER,0.020268886550548728
21143,2088,4149.15,182,128,ANTIQUE GLASS HEART DECORATION,0.02026322145362858
23110,700,4147.18,255,157,PARISIENNE KEY CABINET,0.020253600556272823
23486,275,4145.47,74,64,ANTIQUE HEART SHELF UNIT,0.020245249422019856
21590,3448,4141.28,286,203,KINGS CHOICE CIGAR BOX MATCHES,0.02022478670124796
70006,4438,4139.5599999999995,290,141,LOVE HEART POCKET WARMER,0.020216386729952573
23306,2808,4123.38,277,182,SET OF 36 PANTRY PAPER DOILIES,0.020137368395325074
23255,1014,4097.22,158,116,CHILDRENS CUTLERY CIRCUS PARADE,0.020009610692367376
22125,653,4089.09,183,117,UNION JACK HOT WATER BOTTLE,0.019969906176883965
22807,1375,4086.5600000000004,294,125,SET OF 6 T-LIGHTS TOADSTOOLS,0.019957550405152968
16161U,10026,4084.92,318,203,WRAP SUKI AND FRIENDS,0.0199495411301969
23009,263,4082.5199999999995,103,48,I LOVE LONDON BABY GIFT SET,0.019937820240017293
21911,2546,4080.8499999999995,344,200,GARDEN METAL SIGN,0.019929664453933984
23193,1922,4079.28,175,109,BUFFALO BILL TREASURE BOOK BOX,0.019921997038274828
21472,1056,4077.82,285,161,LADYBIRD + BEE RAFFIA FOOD COVER,0.019914866830082235
23194,1835,4077.37,214,142,GYMKHANA TREASURE BOOK BOX,0.01991266916317356
84596B,6221,4074.67,725,256,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.019899483161721503
20981,4718,4069.16,513,290,12 PENCILS TALL TUBE WOODLAND,0.01987257395135083
21901,6158,4061.51,688,315,"KEY FOB , BACK DOOR",0.019835213613903335
22359,1278,4052.18,202,117,GLASS JAR KINGS CHOICE,0.019789648653330123
84580,1057,4051.94,442,197,MOUSE TOY WITH PINK T-SHIRT,0.019788476564312162
72349B,1990,4049.9900000000002,287,123,SET/6 PURPLE BUTTERFLY T-LIGHTS,0.019778953341041232
35924,2164,4049.4,188,65,HANGING FAIRY CAKE DECORATION,0.019776071955538745
21717,1554,4039.6299999999997,176,122,EASTER TIN BUCKET,0.019728358165099266
23081,483,4038.25,139,80,GREEN METAL BOX ARMY SUPPLIES,0.019721618653245995
21679,4871,4034.5099999999998,370,181,SKULLS STICKERS,0.01970335359938278
23340,2500,4034.08,151,112,VINTAGE CHRISTMAS CAKE FRILL,0.019701253606558933
22639,1651,4021.12,275,192,SET OF 4 NAPKIN CHARMS HEARTS,0.019637960799589065
22053,4551,4020.8899999999994,87,61,EMPIRE DESIGN ROSETTE,0.019636837547613518
22284,2465,4017.74,300,157,HEN HOUSE DECORATION,0.01962145387925279
22057,3060,4011.73,260,113,CERAMIC PLATE STRAWBERRY DESIGN,0.01959210281676136
21349,553,4010.73,171,113,IVY HEART WREATH,0.019587219112519857
23129,950,3999.5000000000005,172,138,HEART SHAPED HOLLY WREATH,0.019532375113887793
20967,1055,3997.34,296,187,GREY FLORAL FELTCRAFT SHOULDER BAG,0.019521826312726143
23130,962,3988.98,184,139,MISTLETOE HEART WREATH GREEN,0.019480998545267185
22245,4633,3988.85,413,166,"HOOK, 1 HANGER ,MAGIC GARDEN",0.01948036366371579
21987,6417,3988.0600000000004,385,209,PACK OF 6 SKULL PAPER CUPS,0.019476505537365008
22612,1001,3984.99,109,83,TEA COSY VINTAGE UNION JACK,0.01946151256534359
85206A,2327,3982.91,318,234,CREAM FELT EASTER EGG BASKET,0.019451354460521268
22959,9738,3981.96,284,251,WRAP CHRISTMAS VILLAGE,0.01944671494149184
22731,2958,3965.62,266,165,3D CHRISTMAS STAMPS STICKERS,0.019366915214185695
21648,2940,3956.48,231,96,ASSORTED TUTTI FRUTTI SMALL PURSE,0.01932227815741837
22445,1287,3948.8600000000006,275,147,PENCIL CASE LIFE IS BEAUTIFUL,0.019285064331098122
22788,476,3942.62,84,51,BROCANTE COAT RACK,0.019254590016631146
22454,1405,3933.63,179,115,MEASURING TAPE BABUSHKA RED,0.019210685515500044
23557,350,3930.27,32,25,LANDMARK FRAME BAKER STREET,0.019194276269248595
18097C,1763,3924.9199999999996,211,110,WHITE TALL PORCELAIN T-LIGHT HOLDER,0.019168148451556555
21812,805,3917.4900000000002,205,103,GARLAND WITH HEARTS AND BELLS,0.0191318625290422
22980,2363,3910.0099999999998,291,198,PANTRY SCRUBBING BRUSH,0.019095332421315763
46000M,2517,3901.3500000000004,353,205,POLYESTER FILLER PAD 45x45cm,0.019053039542584357
23049,456,3896.84,186,103,RECYCLED ACAPULCO MAT RED,0.019031014036455178
22314,1110,3888.4800000000005,249,101,OFFICE MUG WARMER CHOC+BLUE,0.018990186268996224
21192,2167,3885.64,216,96,WHITE BELL HONEYCOMB PAPER,0.018976316548950354
22790,200,3884.0000000000005,1,1,"MIRROR, ARCHED GEORGIAN",0.018968307273994296
23552,1863,3881.91,116,93,BICYCLE PUNCTURE REPAIR KIT,0.01895810033212955
37340,13665,3881.33,204,79,MULTICOLOUR SPRING FLOWER MUG,0.01895526778366948
22843,595,3858.51,177,135,BISCUIT TIN VINTAGE GREEN,0.018843821652878404
22475,769,3856.8,256,115,SKULL DESIGN TV DINNER TRAY,0.018835470518625434
22591,1347,3854.15,208,148,CARDHOLDER GINGHAM CHRISTMAS TREE,0.018822528702385453
23032,2328,3853.68,199,117,DRAWER KNOB CRACKLE GLAZE IVORY,0.018820233361391946
23253,258,3848.8599999999997,70,44,16 PIECE CUTLERY SET PANTRY DESIGN,0.018796693906947905
22478,2772,3848.41,317,176,BIRDHOUSE GARDEN MARKER,0.018794496240039232
22272,1371,3848.34,300,207,FELTCRAFT DOLL MARIA,0.018794154380742327
22778,972,3844.46,194,107,GLASS CLOCHE SMALL,0.018775205608285297
21447,2776,3842.63,336,149,12 IVORY ROSE PEG PLACE SETTINGS,0.01876626842952335
22118,799,3842.07,271,195,JOY WOODEN BLOCK LETTERS,0.018763533555148107
23111,312,3839.2400000000002,138,80,PARISIENNE SEWING BOX,0.018749712672144658
21055,386,3839.0899999999997,222,122,TOOL BOX SOFT TOY,0.01874898011650843
22777,455,3838.82,100,67,GLASS CLOCHE LARGE,0.018747661516363225
23131,942,3835.9800000000005,115,91,MISTLETOE HEART WREATH CREAM,0.018733791796317362
22965,1842,3834.0400000000004,260,187,3 TRADITIONAl BISCUIT CUTTERS SET,0.01872431741008885
21067,4763,3830.67,266,130,VINTAGE RED TEATIME MUG,0.018707859326794984
85040B,2451,3813.7799999999997,252,132,SET/4 BLUE FLOWER CANDLES IN BOWL,0.018625373562156013
21846,1601,3803.4,264,51,PINK DIAMANTE PEN IN GIFT BOX,0.01857468071212922
21034,4002,3801.8999999999996,1902,800,REX CASH+CARRY JUMBO SHOPPER,0.018567355155766962
23542,506,3800.16,89,55,WALL ART 70'S ALPHABET,0.018558857510386752
22579,7152,3797.2799999999997,553,347,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.018544792442171228
21100,2540,3795.0,269,119,CHARLIE AND LOLA CHARLOTTE BAG,0.0185336575965006
84016,1004,3791.67,62,43,FLAG OF ST GEORGE CAR FLAG,0.0185173948613764
22458,1523,3790.47,173,121,CAST IRON HOOK GARDEN FORK,0.0185115344162866
72802A,914,3789.9,182,112,ROSE SCENT CANDLE IN JEWELLED BOX,0.018508750704868942
71038,717,3789.25,144,85,WHITE HANGING BEADS CANDLE HOLDER,0.018505576297111966
22292,2779,3773.74,222,145,HANGING CHICK YELLOW DECORATION,0.018429830044326266
23299,1012,3772.88,146,110,FOOD COVER WITH BEADS SET 2,0.018425630058678574
84356,750,3771.0400000000004,133,58,POMPOM CURTAIN,0.018416644042874214
21743,1288,3767.0800000000004,182,117,STAR PORTABLE TABLE LIGHT,0.018397304574077865
21627,195,3766.35,115,31,ELEPHANT CARNIVAL POUFFE,0.018393739469981567
21813,815,3761.4100000000003,184,76,GARLAND WITH STARS AND BELLS,0.01836961397102855
22830,181,3760.71,18,14,UTILTY CABINET WITH HOOKS,0.018366195378059495
21329,2082,3760.66,555,253,DINOSAURS WRITING SET,0.018365951192847417
23127,736,3759.0,194,146,FELTCRAFT GIRL NICOLE KIT,0.018357844243806525
21845,2521,3758.4100000000003,158,104,DAIRY MAID STRIPE MUG,0.01835496285830404
23092,523,3757.78,135,96,LARGE ANTIQUE WHITE PHOTO FRAME,0.018351886124631893
22544,9382,3756.52,341,196,MINI JIGSAW SPACEBOY,0.0183457326572876
85049C,2981,3746.29,500,303,ROMANTIC PINKS RIBBONS,0.018295772362897034
22162,1218,3737.9,260,92,HEART GARLAND RUSTIC PADDED,0.018254798084310832
21795,441,3734.9400000000005,80,64,SET OF 3 BLUE STRIPE BASKET,0.018240342319755985
22494,2765,3730.92,468,200,EMERGENCY FIRST AID TIN,0.018220709828705144
23064,221,3717.56,23,20,CINDERELLA CHANDELIER,0.018155463540038677
22782,254,3712.2999999999997,84,75,SET 3 WICKER STORAGE BASKETS,0.018129775255728377
21351,1099,3702.75,177,113,CINAMMON & ORANGE WREATH,0.01808313588022203
23182,3741,3688.2099999999996,433,140,TOILET SIGN OCCUPIED OR VACANT,0.018012126820550586
22398,4239,3687.48,430,273,MAGNETS PACK OF 4 SWALLOWS,0.01800856171645429
21246,749,3685.63,209,99,RED RETROSPOT BIG BOWL,0.017999526863607514
20692,908,3682.76,139,75,FLORAL ELEPHANT SOFT TOY,0.017985510632434403
23013,924,3674.1600000000003,223,135,GLASS APOTHECARY BOTTLE TONIC,0.01794351077595749
20785,102,3672.35,36,14,FUSCHIA RETRO BAR STOOL,0.017934671271280365
22769,174,3656.86,45,32,CHALKBOARD KITCHEN ORGANISER,0.017859022692579496
23091,580,3656.32,209,160,ZINC HERB GARDEN CONTAINER,0.017856385492289087
23497,2558,3656.02,195,150,CLASSIC CHROME BICYCLE BELL,0.017854920381016635
22823,32,3655.0,18,17,CHEST NATURAL WOOD 20 DRAWERS,0.0178499390026903
22962,4366,3640.93,354,183,JAM JAR WITH PINK LID,0.017781225284012367
85040A,2065,3639.89,400,193,S/4 PINK FLOWER CANDLES IN BOWL,0.017776146231601207
21486,1116,3638.67,294,127,PINK HEART DOTS HOT WATER BOTTLE,0.017770188112426574
85232D,701,3636.6600000000003,223,120,SET/3 DECOUPAGE STACKING TINS,0.017760371866901156
23191,2201,3628.8899999999994,281,182,BUNDLE OF 3 RETRO NOTE BOOKS,0.017722425484944678
84558A,1259,3628.11,199,116,3D DOG PICTURE PLAYING CARDS,0.017718616195636312
22589,1317,3626.7799999999997,238,170,CARDHOLDER GINGHAM STAR,0.017712120868995113
85114B,2017,3618.0499999999997,223,99,IVORY ENCHANTED FOREST PLACEMAT,0.017669486130966798
23294,4392,3607.81,354,214,SET OF 6 SNACK LOAF BAKING CASES,0.01761947699953382
22461,410,3607.81,146,82,SAVOY ART DECO CLOCK,0.01761947699953382
21866,2168,3591.5,453,190,UNION JACK FLAG LUGGAGE TAG,0.01753982378335492
22774,2791,3591.06,184,75,RED DRAWER KNOB ACRYLIC EDWARDIAN,0.017537674953488656
21509,8696,3587.22,628,264,COWBOYS AND INDIANS BIRTHDAY CARD,0.017518921529201287
22536,9091,3586.24,365,243,MAGIC DRAWING SLATE PURDEY,0.017514135499044615
23085,376,3583.23,78,64,ANTIQUE SILVER BAUBLE LAMP,0.017499435549277693
22944,4870,3577.9900000000002,158,89,CHRISTMAS METAL POSTCARD WITH BELLS,0.017473844939052224
84968F,298,3571.77,131,52,SET OF 16 VINTAGE SKY BLUE CUTLERY,0.017443468298670082
20784,101,3570.87,37,6,RED RETRO BAR STOOL,0.01743907296485273
22704,8678,3564.76,295,207,WRAP RED APPLES,0.01740923353193715
22334,2230,3552.3599999999997,264,180,DINOSAUR PARTY BAG + STICKER SET,0.01734867559934252
21794,713,3552.09,178,123,CLASSIC FRENCH STYLE BASKET NATURAL,0.01734735699919732
22603,4143,3552.0899999999997,388,236,CHRISTMAS RETROSPOT TREE WOOD,0.017347356999197316
23210,2849,3551.53,192,115,WHITE ROCKING HORSE HAND PAINTED,0.017344622124822077
22320,598,3545.02,180,130,BIRDS MOBILE VINTAGE DESIGN,0.0173128292102099
22176,1184,3542.7300000000005,258,125,BLUE OWL SOFT TOY,0.01730164552749686
23332,2059,3542.7099999999996,287,207,IVORY WICKER HEART LARGE,0.017301547853412026
20886,1777,3540.22,308,163,BOX OF 9 PEBBLE CANDLES,0.01728938742985069
21784,290,3538.2799999999997,178,78,SHOE SHINE BOX,0.017279913043622173
21054,382,3537.9999999999995,182,119,NURSE'S BAG SOFT TOY,0.01727854560643455
20786,99,3533.9,31,9,BLACK RETRO BAR STOOL,0.017258522419044395
22166,440,3528.75,159,31,WALL MIRROR RECTANGLE DIAMANTE PINK,0.017233371342200658
47505,737,3527.42,178,129,MINATURE COLOURED GARDENING SET,0.017226876015559462
21179,4284,3517.9,505,231,NO JUNK MAIL METAL SIGN,0.01718038315118036
23353,4007,3510.0499999999997,327,227,6 GIFT TAGS VINTAGE CHRISTMAS,0.017142046072884567
22765,311,3508.3,53,36,NEWSPAPER STAND,0.01713349959046194
22531,8136,3507.76,406,251,MAGIC DRAWING SLATE CIRCUS PARADE,0.017130862390171527
23189,1249,3507.51,141,89,SET OF 12 FORK CANDLES,0.017129641464111153
22902,1716,3506.56,199,102,TOTE BAG I LOVE LONDON,0.017125001945081725
84352,206,3505.58,126,90,SILVER CHRISTMAS TREE BAUBLE STAND,0.017120215914925054
22939,700,3502.54,181,109,ADULT APRON APPLE DELIGHT,0.017105369454030888
22076,2353,3490.1899999999996,375,197,6 RIBBONS EMPIRE,0.017045055706648334
21469,1165,3482.01,210,130,POLKA DOT RAFFIA FOOD COVER,0.017005107005952848
21466,927,3479.79,275,147,RED FLOWER CROCHET FOOD COVER,0.016994265182536713
22764,183,3462.49,25,23,"RUSTIC WOODEN CABINET, GLASS DOORS",0.016909777099158727
22309,1331,3459.08,266,117,TEA COSY RED STRIPE,0.016893123667695204
21507,8223,3455.41,584,267,ELEPHANT BIRTHDAY CARD,0.016875200473128894
22172,378,3451.82,185,124,METAL SHELF WITH RAIL,0.0168576679749019
23350,2712,3445.08,305,205,ROLL WRAP VINTAGE SPOT,0.016824751808314175
23426,1275,3444.4300000000003,206,126,METAL SIGN DROP YOUR PANTS,0.0168215774005572
85123a,516,3444.02,99,0,WHITE HANGING HEART T-LIGHT HOLDER,0.016819575081818184
23536,626,3442.13,85,68,WALL ART VILLAGE SHOW,0.016810344880801742
23232,8526,3436.92,238,188,WRAP VINTAGE LEAF DESIGN,0.016784900781703516
23388,821,3432.09,154,115,WOODLAND MINI BACKPACK,0.016761312490217062
23354,3740,3429.3999999999996,322,235,6 GIFT TAGS 50'S CHRISTMAS,0.01674817532580742
23065,273,3427.44,99,81,LARGE DECO JEWELLERY STAND,0.016738603265494076
21039,1313,3423.6499999999996,228,141,RED RETROSPOT SHOPPING BAG,0.01672009402641878
23156,1665,3423.29,205,117,SET OF 5 MINI GROCERY MAGNETS,0.016718335892891845
23014,856,3419.5800000000004,209,122,GLASS APOTHECARY BOTTLE ELIXIR,0.016700217350155873
21191,1479,3408.61,201,96,LARGE WHITE HONEYCOMB PAPER BELL,0.016646643114626592
21902,5359,3408.03,474,250,"KEY FOB , FRONT DOOR",0.016643810566166522
21364,468,3407.7200000000003,167,118,PEACE SMALL WOOD LETTERS,0.016642296617851656
84472,87,3402.32,30,23,PINK AND LILAC QUILTED THROW,0.016615924614947545
37501,481,3401.15,177,106,TEA TIME TEA SET IN GIFT BOX,0.016610210680984987
22440,8523,3399.41,292,187,BALLOON WATER BOMB PACK OF 35,0.016601713035604773
21123,2751,3393.06,252,125,SET/10 IVORY POLKADOT PARTY CANDLES,0.016570701513671234
22459,1378,3389.74,172,124,CAST IRON HOOK GARDEN TROWEL,0.016554487615589447
44230,347,3381.6200000000003,53,25,SQUARE MIRROR CURTAIN,0.016514831937148453
22428,459,3379.67,191,126,ENAMEL FIRE BUCKET CREAM,0.01650530871387752
21327,1926,3378.5099999999998,495,212,SKULLS WRITING SET,0.01649964361695738
22862,758,3373.22,221,143,LOVE HEART NAPKIN BOX,0.01647380882151983
22822,581,3367.35,183,139,CREAM WALL PLANTER HEART SHAPED,0.016445141477622213
21211,2405,3365.64,237,139,SET OF 72 SKULL PAPER DOILIES,0.016436790343369246
84797A,481,3361.25,44,21,PINK HAWAIIAN PICNIC HAMPER FOR 4,0.01641535088174905
22223,726,3359.6600000000003,175,89,CAKE PLATE LOVEBIRD PINK,0.016407585792005065
22452,1271,3358.1000000000004,255,112,MEASURING TAPE BABUSHKA PINK,0.016399967213388322
22477,2414,3356.74,276,155,WATERING CAN GARDEN MARKER,0.016393325375619876
23239,842,3353.84,178,125,SET OF 4 KNICK KNACK TINS POPPIES,0.01637916263331952
22047,8250,3351.0,261,211,EMPIRE GIFT WRAP,0.016365292913273655
15058B,438,3327.67,156,65,PINK POLKADOT GARDEN PARASOL,0.01625135609331941
21917,8010,3324.22,467,246,SET 12 KIDS WHITE CHALK STICKS,0.01623450731368623
22136,1989,3322.22,265,117,LOVE HEART SOCK HANGER,0.016224739905203223
84828,2503,3315.18,353,146,JUNGLE POPSICLES ICE LOLLY MOULDS,0.016190358627343047
84813,422,3300.7599999999998,99,53,SET OF 4 DIAMOND NAPKIN RINGS,0.016119935612180586
22183,586,3297.25,209,58,CAKE STAND VICTORIAN FILIGREE MED,0.016102793810292913
20702,782,3296.7,245,151,PINK PADDED MOBILE,0.016100107772960087
22122,1095,3290.0800000000004,191,113,SET OF 2 FANCY FONT TEA TOWELS,0.016067777650881347
37410,25707,3288.65,33,13,BLACK AND WHITE PAISLEY FLOWER MUG,0.016060793953815995
22281,511,3285.86,149,83,EASTER TREE YELLOW BIRDS,0.016047168418982204
22762,204,3276.62,133,91,CUPBOARD 3 DRAWER MA CAMPAGNE,0.016002042991790727
23308,6139,3272.61,382,209,SET OF 60 VINTAGE LEAF CAKE CASES,0.015982459337782303
22967,1171,3271.4100000000003,138,122,SET 3 SONG BIRD PAPER EGGS ASSORTED,0.0159765988926925
22794,389,3271.35,209,130,SWEETHEART WIRE MAGAZINE RACK,0.01597630587043801
84975,1990,3266.4,212,115,HEART SHAPED MIRROR,0.015952131534442575
21467,1025,3263.75,254,145,CHERRY CROCHET FOOD COVER,0.015939189718202594
84031B,839,3263.03,271,80,CHARLIE LOLA BLUE HOT WATER BOTTLE,0.01593567345114871
